更新时间,#genre#
湖北卫视,http://113.226.106.34:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://113.226.106.34:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://113.226.106.34:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://113.226.106.34:9901/tsfile/live/0128_2.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://113.226.106.34:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://113.226.106.34:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://113.226.106.34:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://113.226.106.34:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://113.226.106.34:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://113.226.106.34:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://113.226.106.34:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://113.226.106.34:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://113.226.106.34:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://113.226.106.34:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://113.226.106.34:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://113.226.106.34:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://113.226.106.34:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁本地频道,http://113.226.106.34:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://113.226.106.34:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://113.226.106.34:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://113.226.106.34:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CETV,http://113.226.106.34:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://113.226.106.34:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
欢笑剧场,http://113.226.106.34:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://113.226.106.34:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
影迷电影,http://113.226.106.34:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://113.226.106.34:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://113.226.106.34:9901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://113.226.106.34:9901/tsfile/live/0002_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://113.226.106.34:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://220.192.102.173:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://220.192.102.173:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://220.192.102.173:9901rtsp://123.147.113.180:554/04000001/01000000004000000000000000000302?
CCTV4,http://220.192.102.173:9901/tsfile/live/0004_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://220.192.102.173:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://220.192.102.173:9901/tsfile/live/0016_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://220.192.102.173:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://220.192.102.173:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://220.192.102.173:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://220.192.102.173:9901/tsfile/live/0012_2.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://220.192.102.173:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆影视超高清,http://220.192.102.173:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
重庆少儿超高清,http://220.192.102.173:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
重庆都市高清,http://220.192.102.173:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
重庆影视高清,http://220.192.102.173:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://220.192.102.173:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://220.192.102.173:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://220.192.102.173:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://220.192.102.173:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://220.192.102.173:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://220.192.102.173:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://220.192.102.173:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://220.192.102.173:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://220.192.102.173:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://220.192.102.173:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视高清,http://220.192.102.173:9901/tsfile/live/0120_2.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视高清,http://220.192.102.173:9901/tsfile/live/0143_2.m3u8?key=txiptv&playlive=0&authid=0
经典电影,http://220.192.102.173:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://117.36.76.86:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://117.36.76.86:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://117.36.76.86:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://117.36.76.86:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://117.36.76.86:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://117.36.76.86:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://117.36.76.86:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://117.36.76.86:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://117.36.76.86:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://117.36.76.86:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://117.36.76.86:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://117.36.76.86:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://117.36.76.86:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://117.36.76.86:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://117.36.76.86:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://117.36.76.86:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实高清,http://117.36.76.86:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://117.36.76.86:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://117.36.76.86:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://117.36.76.86:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://117.36.76.86:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://117.36.76.86:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://117.36.76.86:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://117.36.76.86:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://117.36.76.86:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://117.36.76.86:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://117.36.76.86:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://117.36.76.86:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://117.36.76.86:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://117.36.76.86:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://117.36.76.86:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://117.36.76.86:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://117.36.76.86:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://117.36.76.86:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://117.36.76.86:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://117.36.76.86:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://117.36.76.86:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://117.36.76.86:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://117.36.76.86:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://117.36.76.86:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://117.36.76.86:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://117.36.76.86:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://117.36.76.86:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://117.36.76.86:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://117.36.76.86:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
陕西新闻资讯高清,http://117.36.76.86:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
陕西都市青春高清,http://117.36.76.86:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
西安1套高清,http://117.36.76.86:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
